             Time	Speed1	Speed2	Speed3	Temp
10-Jun-2007 17:00	3.4398	3.7941	3.5404	13.2332
10-Jun-2007 18:00	2.4756	2.4217	2.6099	13.4357
10-Jun-2007 19:00	0.5357	0.4758	0.4252	11.628
10-Jun-2007 20:00	5.5041	5.9437	4.7434	10.3101
10-Jun-2007 21:00	6.5469	5.48	6.6952	7.9824
10-Jun-2007 22:00	4.9766	4.7567	4.6561	6.7765
10-Jun-2007 23:00	3.4556	3.692	3.5287	6.4618
11-Jun-2007 00:00	4.3728	5.1451	4.7023	6.7765
11-Jun-2007 01:00	5.105	4.9849	5.1255	7.0291
11-Jun-2007 02:00	6.4793	6.7628	6.5901	7.4093
11-Jun-2007 03:00	5.4485	4.6997	5.883	8.6233
11-Jun-2007 04:00	6.9157	7.2142	6.4669	8.1102
11-Jun-2007 05:00	7.3107	7.1448	7.1161	8.1102
11-Jun-2007 06:00	6.2465	6.2507	6.0235	7.9185
11-Jun-2007 07:00	4.0809	3.8956	4.2058	8.2382
11-Jun-2007 08:00	3.7961	3.9716	3.7811	8.6876
11-Jun-2007 09:00	3.3467	3.4823	3.3125	9.1392
11-Jun-2007 10:00	4.4769	4.3698	4.5056	9.2686
11-Jun-2007 11:00	6.8726	6.9104	6.8858	8.6876
11-Jun-2007 12:00	7.2752	7.448	7.1756	8.6233
11-Jun-2007 13:00	6.192	6.5507	5.9654	9.0745
11-Jun-2007 14:00	6.4034	6.6469	6.4983	8.9454
11-Jun-2007 15:00	6.5579	6.852	6.6327	8.2382
11-Jun-2007 16:00	4.7236	4.5287	5.1326	9.7228
11-Jun-2007 17:00	7.7394	8.1378	8.4102	9.9834
11-Jun-2007 18:00	3.5678	3.1623	3.5167	9.1392
11-Jun-2007 19:00	2.8133	3.3846	1.235	9.5279
11-Jun-2007 20:00	3.6458	3.3051	3.8115	9.7228
11-Jun-2007 21:00	1.4352	1.086	1.1849	9.463
11-Jun-2007 22:00	3.4238	3.9313	3.7029	9.5279
11-Jun-2007 23:00	6.0834	5.7444	6.3873	9.7228
12-Jun-2007 00:00	6.1602	5.5668	6.7681	9.6578
12-Jun-2007 01:00	7.0633	7.066	6.8556	9.5279
12-Jun-2007 02:00	6.3633	6.3363	6.6419	9.7879
12-Jun-2007 03:00	6.1808	6.6366	5.72	9.7228
12-Jun-2007 04:00	7.82	7.3886	7.965	9.463
12-Jun-2007 05:00	8.1449	7.8764	8.3778	9.2038
12-Jun-2007 06:00	5.1417	5.2785	5.2182	9.5279
12-Jun-2007 07:00	4.6054	4.4977	4.5361	10.5067
12-Jun-2007 08:00	6.9496	6.8574	7.0563	10.8351
